#pos	base_type	quality_expectation_1st_read	quality_expectation_2nd_read
1	A	50	50
2	A	46	46
3	A	46	46
4	A	39	39
5	A	50	50
6	A	50	50
7	A	45	45
8	A	36	36
9	A	36	36
10	A	40	40
11	A	37	37
12	A	47	47
13	A	43	43
14	A	38	38
15	A	44	44
16	A	40	40
17	A	47	47
18	A	44	44
19	A	40	40
20	A	47	47
21	A	40	40
22	A	34	34
23	A	47	47
24	A	47	47
25	A	42	42
26	A	75	75
27	A	75	75
28	A	75	75
29	A	75	75
30	A	75	75
31	A	75	75
32	A	75	75
33	A	75	75
34	A	75	75
35	A	75	75
36	A	75	75
37	A	75	75
38	A	75	75
39	A	75	75
40	A	75	75
41	A	75	75
42	A	75	75
43	A	75	75
44	A	75	75
45	A	75	75
46	A	75	75
47	A	75	75
48	A	75	75
49	A	75	75
50	A	75	75
51	A	75	75
52	A	75	75
53	A	75	75
54	A	75	75
55	A	75	75
56	A	75	75
57	A	75	75
58	A	75	75
59	A	75	75
60	A	75	75
61	A	75	75
62	A	75	75
63	A	75	75
64	A	75	75
65	A	75	75
66	A	75	75
67	A	75	75
68	A	75	75
69	A	75	75
70	A	75	75
71	A	75	75
72	A	75	75
73	A	75	75
74	A	75	75
75	A	75	75
76	A	75	75
77	A	75	75
78	A	75	75
79	A	75	75
80	A	75	75
81	A	75	75
82	A	75	75
83	A	75	75
84	A	75	75
85	A	75	75
86	A	75	75
87	A	75	75
88	A	75	75
89	A	75	75
90	A	75	75
91	A	75	75
92	A	75	75
93	A	75	75
94	A	75	75
95	A	75	75
96	A	75	75
97	A	75	75
98	A	75	75
99	A	75	75
100	A	75	75
101	A	64	64
102	A	44	44
103	A	47	47
104	A	56	56
105	A	41	41
106	A	50	50
107	A	43	43
108	A	65	65
109	A	41	41
110	A	57	57
111	A	60	60
112	A	54	54
113	A	60	60
114	A	43	43
115	A	47	47
116	A	59	59
117	A	51	51
118	A	47	47
119	A	59	59
120	A	50	50
121	A	45	45
122	A	47	47
123	A	56	56
124	A	51	51
125	A	48	48
1	T	36	36
2	T	40	40
3	T	43	43
4	T	50	50
5	T	33	33
6	T	43	43
7	T	42	42
8	T	33	33
9	T	42	42
10	T	42	42
11	T	47	47
12	T	43	43
13	T	33	33
14	T	43	43
15	T	33	33
16	T	45	45
17	T	35	35
18	T	48	48
19	T	38	38
20	T	38	38
21	T	50	50
22	T	40	40
23	T	39	39
24	T	46	46
25	T	48	48
26	T	75	75
27	T	75	75
28	T	75	75
29	T	75	75
30	T	75	75
31	T	75	75
32	T	75	75
33	T	75	75
34	T	75	75
35	T	75	75
36	T	75	75
37	T	75	75
38	T	75	75
39	T	75	75
40	T	75	75
41	T	75	75
42	T	75	75
43	T	75	75
44	T	75	75
45	T	75	75
46	T	75	75
47	T	75	75
48	T	75	75
49	T	75	75
50	T	75	75
51	T	75	75
52	T	75	75
53	T	75	75
54	T	75	75
55	T	75	75
56	T	75	75
57	T	75	75
58	T	75	75
59	T	75	75
60	T	75	75
61	T	75	75
62	T	75	75
63	T	75	75
64	T	75	75
65	T	75	75
66	T	75	75
67	T	75	75
68	T	75	75
69	T	75	75
70	T	75	75
71	T	75	75
72	T	75	75
73	T	75	75
74	T	75	75
75	T	75	75
76	T	75	75
77	T	75	75
78	T	75	75
79	T	75	75
80	T	75	75
81	T	75	75
82	T	75	75
83	T	75	75
84	T	75	75
85	T	75	75
86	T	75	75
87	T	75	75
88	T	75	75
89	T	75	75
90	T	75	75
91	T	75	75
92	T	75	75
93	T	75	75
94	T	75	75
95	T	75	75
96	T	75	75
97	T	75	75
98	T	75	75
99	T	75	75
100	T	75	75
101	T	52	52
102	T	56	56
103	T	62	62
104	T	63	63
105	T	58	58
106	T	63	63
107	T	54	54
108	T	41	41
109	T	62	62
110	T	60	60
111	T	43	43
112	T	50	50
113	T	42	42
114	T	64	64
115	T	62	62
116	T	55	55
117	T	61	61
118	T	62	62
119	T	53	53
120	T	40	40
121	T	65	65
122	T	52	52
123	T	44	44
124	T	64	64
125	T	63	63
1	G	35	35
2	G	39	39
3	G	48	48
4	G	36	36
5	G	49	49
6	G	36	36
7	G	37	37
8	G	37	37
9	G	47	47
10	G	42	42
11	G	34	34
12	G	41	41
13	G	36	36
14	G	47	47
15	G	42	42
16	G	34	34
17	G	40	40
18	G	48	48
19	G	42	42
20	G	33	33
21	G	46	46
22	G	34	34
23	G	47	47
24	G	49	49
25	G	38	38
26	G	75	75
27	G	75	75
28	G	75	75
29	G	75	75
30	G	75	75
31	G	75	75
32	G	75	75
33	G	75	75
34	G	75	75
35	G	75	75
36	G	75	75
37	G	75	75
38	G	75	75
39	G	75	75
40	G	75	75
41	G	75	75
42	G	75	75
43	G	75	75
44	G	75	75
45	G	75	75
46	G	75	75
47	G	75	75
48	G	75	75
49	G	75	75
50	G	75	75
51	G	75	75
52	G	75	75
53	G	75	75
54	G	75	75
55	G	75	75
56	G	75	75
57	G	75	75
58	G	75	75
59	G	75	75
60	G	75	75
61	G	75	75
62	G	75	75
63	G	75	75
64	G	75	75
65	G	75	75
66	G	75	75
67	G	75	75
68	G	75	75
69	G	75	75
70	G	75	75
71	G	75	75
72	G	75	75
73	G	75	75
74	G	75	75
75	G	75	75
76	G	75	75
77	G	75	75
78	G	75	75
79	G	75	75
80	G	75	75
81	G	75	75
82	G	75	75
83	G	75	75
84	G	75	75
85	G	75	75
86	G	75	75
87	G	75	75
88	G	75	75
89	G	75	75
90	G	75	75
91	G	75	75
